variant,phase,type,key,value
dem-sierra-S1-trace,static,counts,quality_reference_bounds_builds,1088577
dem-sierra-S1-trace,static,counts,quality_reference_exact_builds,568970
dem-sierra-S1-trace,static,counts,quality_samples,1080881
dem-sierra-S1-trace,static,counts,quality_screen_evaluations,2558290
dem-sierra-S1-trace,static,counts,quality_visibility_exact_requests,0
dem-sierra-S1-trace,static,counts,shape_infeasible,20328
dem-sierra-S1-trace,static,counts,source_height_prepared,14743
dem-sierra-S1-trace,static,counts,flip_certified,1
dem-sierra-S1-trace,static,seconds,derived_publish,0.0001317
dem-sierra-S1-trace,static,seconds,donor_order,0.0006156000000000002
dem-sierra-S1-trace,static,seconds,face_fill,0.00014
dem-sierra-S1-trace,static,seconds,mesh_fill,0.0001072
dem-sierra-S1-trace,static,seconds,mesh_prepare,0.0001339
dem-sierra-S1-trace,static,seconds,next_order,0.0012381
dem-sierra-S1-trace,static,seconds,pointwise_batch,0.0004542
dem-sierra-S1-trace,static,seconds,prepare,0.000619
dem-sierra-S1-trace,static,seconds,publish,7.790000000000001e-05
dem-sierra-S1-trace,static,seconds,receiver_stage,2.921883899999999
dem-sierra-S1-trace,static,seconds,reservation,0.0002428000000000001
dem-sierra-S1-trace,static,seconds,sample_repair,0.006259300000000001
dem-sierra-S1-trace,static,seconds,task_wall_sum_flip_recovery,0.04561930000000001
dem-sierra-S1-trace,static,seconds,task_wall_sum_pointwise_quality,20.165379299999998
dem-sierra-S1-trace,static,seconds,task_wall_sum_proposal,0.9064113999999998
dem-sierra-S1-trace,static,seconds,task_wall_sum_receiver_certification,0.7071891
dem-sierra-S1-trace,static,seconds,view_order,0.0006631
dem-sierra-S1-trace,static,seconds,view_projection,0.0078411
dem-sierra-S1-trace,static,seconds,view_refresh,0.0114406
dem-sierra-S1-trace,static,seconds,view_scores,0.0028946
dem-sierra-S1-trace,static,maxima,rationalBits,503.0
dem-sierra-S2-trace,all,counts,certified,2372
dem-sierra-S2-trace,all,counts,height_hint_queries,40400
dem-sierra-S2-trace,all,counts,height_hint_remember,38018
dem-sierra-S2-trace,all,counts,pointwise_height_damage,38018
dem-sierra-S2-trace,all,counts,pointwise_receiver_certified,2379
dem-sierra-S2-trace,all,counts,quality_clip_bounds_builds,1867761
dem-sierra-S2-trace,all,counts,quality_clip_exact_builds,106532
dem-sierra-S2-trace,all,counts,quality_contexts,3429522
dem-sierra-S2-trace,all,counts,quality_cover_exact_requests,1321410
dem-sierra-S2-trace,all,counts,quality_early_height_rejects,3313
dem-sierra-S2-trace,all,counts,quality_evidence_bytes,587875056
dem-sierra-S2-trace,all,counts,quality_exact_samples,111551
dem-sierra-S2-trace,all,counts,quality_face_bounds_builds,193716
dem-sierra-S2-trace,all,counts,quality_face_bounds_heights,3735522
dem-sierra-S2-trace,all,counts,quality_face_bounds_sides,37908321
dem-sierra-S2-trace,all,counts,quality_face_exact_builds,60381
dem-sierra-S2-trace,all,counts,quality_face_exact_heights,223102
dem-sierra-S2-trace,all,counts,quality_face_exact_sides,1321410
dem-sierra-S2-trace,all,counts,quality_face_records,347526
dem-sierra-S2-trace,all,counts,quality_filter_samples,1833043
dem-sierra-S2-trace,all,counts,quality_full_domain_loops,8087
dem-sierra-S2-trace,all,counts,quality_hint_checks,34718
dem-sierra-S2-trace,all,counts,quality_hint_outside,65
dem-sierra-S2-trace,all,counts,quality_hint_rejected,34705
dem-sierra-S2-trace,all,counts,quality_reference_bounds_builds,3429522
dem-sierra-S2-trace,all,counts,quality_reference_exact_builds,690500
dem-sierra-S2-trace,all,counts,quality_samples,1867761
dem-sierra-S2-trace,all,counts,quality_screen_evaluations,3737632
dem-sierra-S2-trace,all,counts,quality_visibility_exact_requests,0
dem-sierra-S2-trace,all,counts,shape_infeasible,52014
dem-sierra-S2-trace,all,counts,source_height_prepared,40400
dem-sierra-S2-trace,all,counts,flip_flip_nonconvex_or_existing_diagonal,1160
dem-sierra-S2-trace,all,counts,flip_flip_not_interior,572
dem-sierra-S2-trace,all,counts,height_hint_hits,34783
dem-sierra-S2-trace,all,counts,height_hint_shadow_pointwise_height_damage,34705
dem-sierra-S2-trace,all,counts,pointwise_progress_unknown,10
dem-sierra-S2-trace,all,counts,flip_certified,7
dem-sierra-S2-trace,all,counts,flip_quality_infeasible,175
dem-sierra-S2-trace,all,counts,flip_pointwise_height_damage,6
dem-sierra-S2-trace,all,counts,height_hint_evictions,1384
dem-sierra-S2-trace,all,counts,flip_shape_infeasible,9
dem-sierra-S2-trace,all,seconds,derived_publish,0.012174799999999996
dem-sierra-S2-trace,all,seconds,donor_order,0.0016532000000000003
dem-sierra-S2-trace,all,seconds,face_fill,0.0020945000000000004
dem-sierra-S2-trace,all,seconds,height_hint_merge,0.009831799999999998
dem-sierra-S2-trace,all,seconds,mesh_fill,0.0023663999999999994
dem-sierra-S2-trace,all,seconds,mesh_prepare,0.003933299999999999
dem-sierra-S2-trace,all,seconds,next_order,0.055153400000000005
dem-sierra-S2-trace,all,seconds,pointwise_batch,0.14788600000000002
dem-sierra-S2-trace,all,seconds,prepare,0.047493900000000006
dem-sierra-S2-trace,all,seconds,publish,0.0070119000000000015
dem-sierra-S2-trace,all,seconds,receiver_stage,11.056315399999997
dem-sierra-S2-trace,all,seconds,reservation,0.024010299999999984
dem-sierra-S2-trace,all,seconds,sample_repair,0.9700586999999999
dem-sierra-S2-trace,all,seconds,task_wall_sum_height_hint_query,0.03328869999999999
dem-sierra-S2-trace,all,seconds,task_wall_sum_pointwise_quality,75.6642303
dem-sierra-S2-trace,all,seconds,task_wall_sum_proposal,2.4208916999999994
dem-sierra-S2-trace,all,seconds,task_wall_sum_receiver_certification,1.8969983
dem-sierra-S2-trace,all,seconds,task_wall_sum_flip_recovery,0.15197200000000005
dem-sierra-S2-trace,all,seconds,task_wall_sum_height_hint_check,0.2898575
