configuration,case,run,terrain,algorithm,budget,area,capacity,frame,status,valid,N,Emax,RMS,Hmax,Q,missing,ambiguous,witness,meshHash,poseHash,sampleHash,qualityPath
555420f41bf89282bb13269cac7dd71c31a82c7658a6a68cf507077f4828184e,dem-sierra-cbt-a4,visual-dem-sierra-cbt-a4,dem-sierra,cbt,,4,524288,95,invalid-quality,False,110369.0,,,,1574913,0,11,"[121390, 0.15625, 0.078125]",12928429810441870272,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a4
280b9cbc756da0c1ef5fe688d56511a3e83a8334dbdd357654ff4fea9561b79e,dem-sierra-cbt-a8,visual-dem-sierra-cbt-a8,dem-sierra,cbt,,8,524288,2,ok,True,48.0,16.374504102298975,3.691854217601778,2.285104965989251,1574913,0,0,"[1250328, 0.41015625, 0.794921875]",18156418382763586949,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a8
280b9cbc756da0c1ef5fe688d56511a3e83a8334dbdd357654ff4fea9561b79e,dem-sierra-cbt-a8,visual-dem-sierra-cbt-a8,dem-sierra,cbt,,8,524288,48,ok,True,41522.0,3.1898454143770962,0.17621368810578164,1.3275499406940323,1574913,0,0,"[1000806, 0.23828125, 0.63671875]",1297745290852232650,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a8
280b9cbc756da0c1ef5fe688d56511a3e83a8334dbdd357654ff4fea9561b79e,dem-sierra-cbt-a8,visual-dem-sierra-cbt-a8,dem-sierra,cbt,,8,524288,80,ok,True,56100.0,1.4895591955688279,0.12648082690186285,0.5085025095958731,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",630840433665027607,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a8
280b9cbc756da0c1ef5fe688d56511a3e83a8334dbdd357654ff4fea9561b79e,dem-sierra-cbt-a8,visual-dem-sierra-cbt-a8,dem-sierra,cbt,,8,524288,95,ok,True,56100.0,1.4895591955688279,0.12648082690186285,0.5085025095958731,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",15028317124043051571,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a8
a58618edccfba74c623ff11b099fd0e5208cb431b78dc1a8c716675ef9925edc,generated-ridge-b50000-classic-t1,visual-generated-ridge-b50000-classic-t1,generated-ridge,classic,50000,,,2,ok,True,5553.0,1.0641896547471814,0.15724544683202643,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]",6707522781349933037,4928933533577085759,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-generated-ridge-b50000-classic-t1
a58618edccfba74c623ff11b099fd0e5208cb431b78dc1a8c716675ef9925edc,generated-ridge-b50000-classic-t1,visual-generated-ridge-b50000-classic-t1,generated-ridge,classic,50000,,,48,ok,True,7999.0,1.0365793890682853,0.12085657653852279,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]",12790487932267465440,6476063656186917898,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-generated-ridge-b50000-classic-t1
a58618edccfba74c623ff11b099fd0e5208cb431b78dc1a8c716675ef9925edc,generated-ridge-b50000-classic-t1,visual-generated-ridge-b50000-classic-t1,generated-ridge,classic,50000,,,80,ok,True,8458.0,0.9894729283102867,0.1057106779523385,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]",15825581947131233642,4604272192395127190,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-generated-ridge-b50000-classic-t1
a58618edccfba74c623ff11b099fd0e5208cb431b78dc1a8c716675ef9925edc,generated-ridge-b50000-classic-t1,visual-generated-ridge-b50000-classic-t1,generated-ridge,classic,50000,,,95,ok,True,8264.0,0.9717988452426315,0.10697041840446621,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]",17836336335345808146,5675507174324619792,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-generated-ridge-b50000-classic-t1
7efcbda8b68784c774d975b111f81c7f1024c669811c61d3d1b71faebced0839,generated-ridge-b50000-dod-t8,visual-generated-ridge-b50000-dod-t8,generated-ridge,dod,50000,,,2,ok,True,5553.0,1.0641896547471814,0.15724544683202643,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]",1567613504276791757,4928933533577085759,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-generated-ridge-b50000-dod-t8
