run,configuration,case,algorithm,cpuTimeMeaning,warmCpuMs,warmFrameMs,warmP95CpuMs,warmMaxCpuMs,gpuComputeMs,gpuDrawMs,initialCapturedN,finalCapturedN,minimumCapturedN,maximumCapturedN,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites
r2-generated-ridge-b50000-classic-t1,a58618edccfba74c623ff11b099fd0e5208cb431b78dc1a8c716675ef9925edc,generated-ridge-b50000-classic-t1,classic,complete CPU update,3.4698311923652567,4.9452225806451615,5.2399001121521,7.20550012588501,,,5443.0,8264.0,5443.0,8458.0,,,,,,,,,,,,,,
r2-generated-ridge-b50000-dod-t8,7efcbda8b68784c774d975b111f81c7f1024c669811c61d3d1b71faebced0839,generated-ridge-b50000-dod-t8,dod,complete CPU update,1.6397268887489074,3.0345774193548385,2.277600049972534,2.5290000438690186,,,5443.0,8264.0,5443.0,8458.0,,,,,,,,,,,,,,
r2-generated-ridge-b50000-transactional-t8,f496ffb3b25f1aaf30b382e3a702feed3a21e73a8512e439cdd5cc7cb02e30bd,generated-ridge-b50000-transactional-t8,transactional,complete CPU update,35.945387255760934,37.81663655913979,46.85409927368164,64.81449890136719,,,5443.0,5747.0,5443.0,5747.0,65913.0,14548.0,246.0,0.0,0.0,0.0,152.0,0.0,94.0,0.0,2797340.0,151364864.0,18141.0,19020.0
r2-generated-ridge-cbt-a16,45674d23a8c6384f3678240891a1aae40a569089905bbcbb34588b854c8bbf04,generated-ridge-cbt-a16,cbt,host command recording,0.03624946245503041,0.5098322580645162,0.04780000075697899,0.09290000051259995,0.08188940637878009,0.013799032912804531,,,,,,,,,,,,,,,,,,
r2-generated-ridge-cbt-a4,f301192ce2c1eef365c89f965f2558e639401f2561759bbc8003c55814bea112,generated-ridge-cbt-a4,cbt,host command recording,0.037173118382211656,0.2821086021505376,0.061500001698732376,0.10920000076293945,0.09288967065103762,0.029044044071010182,,,,,,,,,,,,,,,,,,
r2-generated-ridge-cbt-a8,eeba721acb032ab7d1ac90fb9c2d01aaa865f39c1434b69cd998e42208ddcbbe,generated-ridge-cbt-a8,cbt,host command recording,0.03718924740709925,0.3556258064516129,0.06040000170469284,0.12549999356269836,0.08385476772929286,0.019517890100909787,,,,,,,,,,,,,,,,,,
r2-peking547-b100000-classic-t1,01b61705d78f4b0248b9b04cbdc040d2c6da20c654079fb0efde1b7a132e31e5,peking547-b100000-classic-t1,classic,complete CPU update,235.17922937302362,237.46748095238095,333.5149230957031,596.6796875,,,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,
r2-peking547-b100000-dod-t8,abb420a5ff72b66b7f14694060d0ab6947c74cda214c377fadf432159534de5e,peking547-b100000-dod-t8,dod,complete CPU update,152.39317612420945,155.8225619047619,228.53439331054688,346.48291015625,,,99999.0,99999.0,99999.0,100000.0,,,,,,,,,,,,,,
r2-peking547-b100000-transactional-t8,6ed17f1185eeaac863c1111c060642cf2461aad1943d9c8a5be3c23ffaf3c228,peking547-b100000-transactional-t8,transactional,complete CPU update,60.9993051801409,61.71465714285714,214.11050415039062,243.0050048828125,,,99999.0,99999.0,99999.0,99999.0,2304963.0,7680.0,412.0,412.0,412.0,173.0,0.0,79672.0,69987.0,5327.0,429077.0,26937776.0,303291.0,306477.0
r2-peking547-b200000-classic-t1,5ad43194d0ae5d933f30fbbae9fe29bcbe8aff83b6589145621a9476337175fa,peking547-b200000-classic-t1,classic,complete CPU update,475.89047095889134,480.13944285714285,708.0427856445312,1105.6951904296875,,,200000.0,200000.0,200000.0,200000.0,,,,,,,,,,,,,,
r2-peking547-b200000-dod-t8,adc6c5f2f0d1a2aa6c273c0a3c9ba67193ee3cae6052e83aaad649dde697a576,peking547-b200000-dod-t8,dod,complete CPU update,329.21399834042506,334.1058761904762,496.6098937988281,766.5045776367188,,,200000.0,200000.0,199999.0,200000.0,,,,,,,,,,,,,,
r2-peking547-b200000-transactional-t8,0fe355d678854765e3545727db1040702b3729f2d9d045ef16adbd32a6a3439c,peking547-b200000-transactional-t8,transactional,complete CPU update,501.1727542877197,502.04396190476194,3117.865966796875,3513.652587890625,,,200000.0,200000.0,200000.0,200000.0,4368289.0,15360.0,1114.0,1114.0,1114.0,522.0,0.0,412142.0,355191.0,48240.0,786401.0,26983753.0,609588.0,618948.0
r2-peking547-b50000-classic-t1,1196acc201b207cbf559978d043d77302090394ad5b59dd131e9b75a494f2150,peking547-b50000-classic-t1,classic,complete CPU update,110.034117380778,111.70768095238095,162.2686004638672,275.3329772949219,,,50000.0,50000.0,50000.0,50000.0,,,,,,,,,,,,,,
r2-peking547-b50000-dod-t8,dad0f8db375276c73bfc6721b65f3592c2e5b08ccecc1f8dee41b70df82e2a33,peking547-b50000-dod-t8,dod,complete CPU update,65.28367578415643,67.60486666666667,101.22049713134766,150.31619262695312,,,49999.0,49999.0,49999.0,50000.0,,,,,,,,,,,,,,
r2-peking547-b50000-transactional-t1,f465d2c4d412982bec70567f3977779fd735bca1880bead215c3c76b65d212d1,peking547-b50000-transactional-t1,transactional,complete CPU update,128.03154196058,128.85568095238096,288.53009033203125,308.50079345703125,,,49999.0,49999.0,49999.0,49999.0,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0
r2-peking547-b50000-transactional-t8,213559c1d6f0f84fbef44566ae5a3ae2a679316bdcb2200de07d899b58d15ec6,peking547-b50000-transactional-t8,transactional,complete CPU update,38.149814594359626,38.80136666666667,128.78640747070312,142.6356964111328,,,49999.0,49999.0,49999.0,49999.0,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0
r2-peking547-cbt-a16,34595dd6be4fba239ef2abccbfb0662c83c788be677afb95daa83c657efd0783,peking547-cbt-a16,cbt,host command recording,0.04167618992782775,0.6845428571428571,0.05249999836087227,0.11129999905824661,0.08685305616573284,0.014181052530674558,,,,,,,,,,,,,,,,,,
r2-peking547-cbt-a4,06c5ba862c982c55f04bbb726316f197828d5f5c97fd8bfb1a5b1fe266ea3a8d,peking547-cbt-a4,cbt,host command recording,0.03524285723410901,0.34985238095238097,0.0471000000834465,0.04820000007748604,0.10717137236344187,0.02377094759752876,,,,,,,,,,,,,,,,,,
r2-peking547-cbt-a8,9476fc0c35c7830b8a27be5741d88b0f191ab8db7fa65fd455e86f05097752e6,peking547-cbt-a8,cbt,host command recording,0.041961904969953355,0.9246809523809524,0.05660000070929527,0.09950000047683716,0.09344673941009923,0.018484210423929125,,,,,,,,,,,,,,,,,,
r3-dem-canyon-b50000-classic-t1,3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,classic,complete CPU update,43.35525473727975,44.39153655913979,58.69879913330078,70.30280303955078,,,50000.0,50000.0,13017.0,50000.0,,,,,,,,,,,,,,
r3-dem-canyon-b50000-dod-t8,49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,dod,complete CPU update,20.290596869684034,21.479786021505376,32.43730163574219,36.79779815673828,,,50000.0,50000.0,13017.0,50000.0,,,,,,,,,,,,,,
r3-dem-canyon-b50000-transactional-t1,23b370ec46474ef059bf856c39f57ae2272005cea959e0a3102b93ba3d2e4442,dem-canyon-b50000-transactional-t1,transactional,complete CPU update,89.07456368272022,89.87376129032258,179.79710388183594,201.55389404296875,,,50000.0,50000.0,50000.0,50000.0,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0
r3-dem-canyon-b50000-transactional-t8,9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,transactional,complete CPU update,16.878107578523696,17.608364516129033,42.64540100097656,59.182498931884766,,,50000.0,50000.0,50000.0,50000.0,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0
r3-dem-canyon-cbt-a16,df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,cbt,host command recording,0.03679677429458787,0.32080752688172043,0.06750000268220901,0.10999999940395355,0.07537230882015857,0.012884747293255814,,,,,,,,,,,,,,,,,,
r3-dem-canyon-cbt-a4,bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,cbt,host command recording,0.037329032155935485,0.36696344086021504,0.06109999865293503,0.09179999679327011,0.09189204548250188,0.025184703351172445,,,,,,,,,,,,,,,,,,
r3-dem-canyon-cbt-a8,6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,cbt,host command recording,0.03914946249576025,0.8121451612903225,0.05119999870657921,0.09130000323057175,0.0817448792385531,0.017962549454890765,,,,,,,,,,,,,,,,,,
