case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
dem-sierra-b50000-transactional-t8,A,17,0,4521841849211612418,9806,3618,160,45,0,0,0,27,0,18,68.160797119140625,11.0755,24.648599999999998,0,0.44270000000000004,27.727899999999998
dem-sierra-b50000-transactional-t8,A,18,0,6993578215316417499,9852,4012,160,34,0,0,0,23,0,11,57.49530029296875,11.2737,19.677500000000002,0,0.47459999999999997,21.993300000000001
dem-sierra-b50000-transactional-t8,A,19,0,2518489804852806926,9908,4498,160,42,0,0,0,28,0,14,58.161800384521484,13.123100000000001,16.996700000000001,0,0.53839999999999999,23.584
dem-sierra-b50000-transactional-t8,A,20,0,11868502945554538527,9976,4960,160,53,0,0,0,34,0,19,70.972198486328125,11.1465,20.825699999999998,0,0.57490000000000008,34.431799999999996
dem-sierra-b50000-transactional-t8,A,21,0,7867423000488726796,10058,5343,160,63,0,0,0,41,0,22,76.891098022460938,12.0998,19.616700000000002,0,0.64550000000000007,40.918599999999998
dem-sierra-b50000-transactional-t8,A,22,0,10165321249746922629,10118,5736,160,45,0,0,0,30,0,15,58.684799194335938,9.6334,17.447500000000002,0,0.67749999999999999,27.888999999999999
dem-sierra-b50000-transactional-t8,A,23,0,16338474729896525457,10186,6134,160,55,0,0,0,34,0,21,70.124099731445312,9.8429000000000002,20.991599999999998,0,0.63500000000000001,35.0687
dem-sierra-b50000-transactional-t8,A,24,0,15092881182931204721,10262,6499,160,62,0,0,0,38,0,24,71.6802978515625,11.0403,21.4527,0,0.60850000000000004,34.994200000000006
dem-sierra-b50000-transactional-t8,A,25,0,2740230520218199232,10346,6847,160,64,0,0,0,42,0,22,83.075202941894531,10.744899999999999,20.829799999999999,0,0.8579,42.949599999999997
dem-sierra-b50000-transactional-t8,A,26,0,15221320762055626208,10430,7214,160,64,0,0,0,42,0,22,81.210899353027344,9.3304000000000009,22.262899999999998,0,0.76480000000000004,44.291900000000005
dem-sierra-b50000-transactional-t8,A,27,0,9301861881189384629,10514,7536,160,62,0,0,0,42,0,20,80.4906005859375,10.1739,24.067499999999999,0,0.64319999999999999,42.073699999999995
dem-sierra-b50000-transactional-t8,A,28,0,3911572653131096055,10582,7783,160,50,0,0,0,34,0,16,74.031303405761719,9.8407999999999998,26.4633,0,0.51000000000000001,33.751799999999996
dem-sierra-b50000-transactional-t8,A,29,0,6142215947851667113,10658,8068,160,66,0,0,0,38,0,28,80.602302551269531,11.5093,25.125800000000002,0,0.59389999999999998,39.106900000000003
dem-sierra-b50000-transactional-t8,A,30,0,7768157361492606476,10728,8275,160,56,0,0,0,35,0,21,74.844802856445312,8.4280999999999988,24.126999999999999,0,0.8246,37.799100000000003
dem-sierra-b50000-transactional-t8,A,31,0,2498356485593039544,10794,8413,160,50,0,0,0,33,0,17,72.440399169921875,12.2394,24.3127,0,0.69469999999999998,29.860299999999999
dem-sierra-b50000-transactional-t8,A,32,0,8845747462131987643,10836,8459,160,38,0,0,0,21,0,17,52.910598754882812,9.4087000000000014,21.1008,0,0.48410000000000003,19.9116
dem-sierra-b50000-transactional-t8,A,33,0,894661900416809802,10868,8307,160,25,0,0,0,16,0,9,38.931999206542969,9.3919999999999995,16.098500000000001,0,0.23470000000000002,11.9542
dem-sierra-b50000-transactional-t8,A,34,0,4562079931662996298,10886,8107,160,14,0,0,0,9,0,5,36.149299621582031,12.418200000000001,13.3537,0,0.16739999999999999,9.0629000000000008
dem-sierra-b50000-transactional-t8,A,35,0,59827445349064665,10912,7833,160,19,0,0,0,13,0,6,33.651298522949219,10.6348,12.6721,0,0.16349999999999998,9.0709
dem-sierra-b50000-transactional-t8,A,36,0,2248484897964537510,10932,7571,160,20,0,0,0,10,0,10,35.273200988769531,9.8155000000000001,15.764099999999999,0,0.16019999999999998,8.6096000000000004
