frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
6,4,12,12,12,14367,483,1300,140
6,4,6,3,2,64,14,16,0
6,4,12,12,12,5958,271,348,32
7,4,6,6,3,67,10,10,4
7,4,6,3,3,36,11,10,0
8,4,6,5,4,60,12,14,6
8,4,6,6,4,111,18,28,8
8,4,4,3,3,72,16,22,8
8,4,20,20,19,2578,199,286,132
8,4,6,6,6,396,54,88,10
8,4,6,6,3,67,10,10,4
8,4,6,6,6,481,71,112,16
8,4,12,12,12,15090,488,1300,0
9,4,12,12,12,6840,316,468,44
9,4,6,6,6,365,42,68,12
9,4,6,6,6,396,54,88,10
9,4,6,6,6,335,69,78,14
9,4,12,12,12,5176,280,452,12
10,4,6,6,6,596,65,142,14
10,4,12,12,12,13628,488,1668,36
11,4,6,6,6,310,40,62,6
11,4,6,6,6,458,57,96,10
11,4,12,12,12,10354,438,900,128
11,4,12,12,12,16974,500,1300,76
11,4,12,12,12,13532,504,1668,40
12,4,6,5,4,60,12,14,6
12,4,6,6,4,111,18,28,8
12,4,4,3,3,72,16,22,8
12,4,20,20,19,2578,199,286,132
12,4,6,6,6,396,54,88,10
12,4,12,12,12,16804,451,1268,12
12,4,12,12,12,13628,488,1668,76
12,4,6,6,3,67,10,10,0
13,4,6,5,4,60,12,14,6
13,4,6,6,4,111,18,28,8
13,4,4,3,3,72,16,22,8
13,4,20,20,19,2578,199,286,132
13,4,6,6,6,396,54,88,10
13,4,12,12,12,6914,320,468,96
13,4,12,12,12,11856,400,868,52
14,4,6,5,4,60,12,14,6
14,4,6,6,4,111,18,28,8
14,4,4,3,3,72,16,22,8
14,4,20,20,19,2578,199,286,132
14,4,6,6,6,396,54,88,10
14,4,12,12,12,13628,488,1668,12
14,4,6,5,4,60,12,14,6
15,4,6,6,3,67,11,10,2
15,4,6,6,3,67,10,10,0
15,4,6,6,6,365,42,68,12
15,4,6,6,6,396,54,88,10
15,4,6,6,6,335,69,78,14
15,4,12,12,12,15691,465,1268,48
15,4,6,5,4,53,12,12,2
15,4,6,6,5,306,42,42,12
15,4,12,12,12,5128,288,452,20
15,4,6,6,6,803,78,168,14
16,4,6,6,4,111,18,28,8
16,4,6,6,6,360,50,78,2
16,4,12,12,12,10780,414,868,40
16,4,12,12,12,12287,469,1668,48
16,4,12,12,12,11880,392,868,28
16,4,12,12,12,16804,451,1268,40
16,4,12,12,12,11880,392,868,32
16,4,12,12,12,16804,451,1268,68
17,4,6,6,6,310,40,62,6
17,4,6,3,3,57,15,16,2
17,4,12,12,12,6914,320,468,80
17,4,6,6,6,371,61,76,14
17,4,12,12,12,5128,288,452,36
17,4,12,12,12,13532,504,1668,96
17,4,12,12,12,11880,392,868,56
17,4,12,12,12,12108,482,1668,44
18,4,6,6,5,306,42,42,12
18,4,6,3,3,57,15,16,2
18,4,12,12,12,10238,398,868,116
18,4,6,6,6,803,69,172,12
18,4,12,12,12,20538,630,2500,100
19,4,6,6,4,111,18,28,8
19,4,6,6,6,310,40,62,6
19,4,12,12,12,6914,320,468,44
19,4,12,12,12,35952,696,3268,108
20,4,6,5,4,60,12,14,6
20,4,6,6,4,111,18,28,8
20,4,4,3,3,72,16,22,8
20,4,20,20,19,2578,199,286,132
20,4,6,5,4,60,12,14,6
20,4,6,6,6,1905,151,440,26
20,4,12,12,12,20450,622,2468,108
20,4,12,12,12,23752,638,2500,92
21,4,6,3,3,57,15,16,2
21,4,6,6,6,596,65,142,14
21,4,6,6,6,947,91,196,4
21,4,6,6,6,1905,151,440,26
21,4,12,12,12,10238,398,868,68
21,4,12,12,12,13628,488,1668,100
21,4,6,3,2,64,14,16,0
21,4,6,6,4,249,28,38,0
21,4,12,12,12,10936,470,900,116
22,4,6,6,4,111,18,28,8
22,4,12,12,12,8364,331,668,100
22,4,12,12,12,7152,332,468,88
22,4,12,12,12,15691,465,1268,104
22,4,12,12,12,11856,400,868,0
22,4,12,12,12,31734,876,3332,32
23,4,12,12,12,13018,494,1252,44
23,4,6,3,3,63,15,18,2
23,4,12,12,12,10238,398,868,72
23,4,12,12,12,11856,400,868,100
23,4,12,12,12,20032,597,1700,132
23,4,12,12,12,13628,488,1668,44
23,4,6,6,6,1365,125,340,14
23,4,12,12,12,15691,465,1268,84
24,4,6,6,6,596,65,142,14
24,4,12,12,12,5985,287,356,88
24,4,12,12,12,18977,565,1700,120
24,4,6,3,2,64,14,16,0
24,4,12,12,12,19792,603,1700,136
24,4,6,6,6,842,82,166,12
24,4,12,12,12,35952,696,3268,144
25,4,6,3,3,63,15,18,2
25,4,6,6,6,310,40,62,6
25,4,6,6,6,248,43,50,10
25,4,6,6,6,842,82,166,12
25,4,6,6,3,67,11,10,0
