scene,event,metric,P0mean,PSmean,P0median,PSmedian,P0p95,PSp95,delta
dem-canyon,recovery,receiverMs,0.734859375,0.9837062500000001,0.0,0.0,5.1934499999999915,0.0,0.24884687500000013
dem-canyon,recovery,viewMs,0.542421875,0.51110625,0.0,0.0,0.0,0.0,-0.03131562500000007
dem-canyon,recovery,donorMs,0.490403125,0.316315625,0.0,0.0,0.0,0.0,-0.1740875
dem-canyon,recovery,reservationMs,0.002928125,0.021537499999999998,0.0,0.0,8.999999999999986e-05,0.0,0.018609374999999997
dem-canyon,recovery,sampleRepairMs,0.064265625,0.0,0.0,0.0,0.0,0.0,-0.064265625
dem-canyon,recovery,uploadMs,0.002328124985069735,0.0011718750010913936,0.0017499999958090484,0.0010000000474974513,0.004169999924488364,0.002390000002924353,-0.0011562499839783413
dem-canyon,recovery,faces,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,0.0
dem-canyon,recovery,receivers,0.15625,146.0,0.0,146.0,0.0,146.0,145.84375
dem-canyon,recovery,exchanges,0.0625,0.0,0.0,0.0,0.0,0.0,-0.0625
dem-canyon,recovery,free,0.03125,0.0,0.0,0.0,0.0,0.0,-0.03125
dem-canyon,recovery,pairs,19.9375,730.0,0.0,0.0,0.0,0.0,710.0625
dem-canyon,recovery,touches,602.65625,1365.125,0.0,0.0,1571.3999999999976,0.0,762.46875
dem-canyon,recovery,evaluations,49225.3125,49216.03125,0.0,0.0,0.0,0.0,-9.28125
dem-canyon,return,cpuMs,59.27758455276489,97.23039245605469,60.4856014251709,102.98849868774414,70.39987068176269,121.31914291381835,37.952807903289795
dem-canyon,return,receiverMs,34.54625625,70.477540625,35.225,74.69210000000001,46.967965,92.819425,35.931284375000004
dem-canyon,return,viewMs,15.229803125,14.717290625,15.192350000000001,14.89705,19.283984999999998,15.901480000000001,-0.5125124999999997
dem-canyon,return,donorMs,9.008378125,10.76865,10.81205,10.5811,12.378355,12.337874999999999,1.760271874999999
