case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-sierra-L,linux,return,receiverMs,mean,5.37284503125,5.319919625,-0.05292540624999997,-0.009850536529933507
dem-sierra-L,linux,return,receiverMs,median,5.549087999999999,5.5403355,-0.008752499999999053,-0.0015772862135181587
dem-sierra-L,linux,return,receiverMs,p95,7.450635749999999,7.149559599999999,-0.3010761500000001,-0.040409457676145344
dem-sierra-L,linux,return,receiverMs,max,8.054623000000001,8.147514999999999,0.09289199999999731,0.011532755785093496
dem-sierra-L,linux,return,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,return,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,return,reservationMs,mean,0.11672903125,0.10978028125,-0.0069487500000000035,-0.05952889290340957
dem-sierra-L,linux,return,reservationMs,median,0.091442,0.107268,0.015826000000000007,0.17307145513002786
dem-sierra-L,linux,return,reservationMs,p95,0.2806245,0.25050195,-0.030122550000000026,-0.10734112666570461
dem-sierra-L,linux,return,reservationMs,max,0.318339,0.278718,-0.03962099999999996,-0.12446165879769666
dem-sierra-L,linux,return,sampleRepairMs,mean,3.8697903125,3.847499125,-0.02229118750000003,-0.00576030887978507
dem-sierra-L,linux,return,sampleRepairMs,median,3.525327,3.6744155000000003,0.1490885000000004,0.04229068679302661
dem-sierra-L,linux,return,sampleRepairMs,p95,7.92375175,7.6077381499999985,-0.31601360000000156,-0.039881814823388595
dem-sierra-L,linux,return,sampleRepairMs,max,10.642838,11.426044,0.7832059999999998,0.07358995786650135
dem-sierra-L,linux,reveal,cpuMs,mean,37.40360431013436,36.27264673956509,-1.1309575705692723,-0.030236593275660417
dem-sierra-L,linux,reveal,cpuMs,median,36.74207305908203,34.890323638916016,-1.8517494201660156,-0.050398610257738174
dem-sierra-L,linux,reveal,cpuMs,p95,47.42159118652343,45.58169555664062,-1.839895629882811,-0.038798690297968785
dem-sierra-L,linux,reveal,cpuMs,max,60.13466262817383,59.53074645996094,-0.6039161682128906,-0.010042729797072991
dem-sierra-L,linux,reveal,viewMs,mean,7.231097413793104,6.8688287586206895,-0.36226865517241436,-0.05009871039510516
dem-sierra-L,linux,reveal,viewMs,median,7.276966,6.990101999999999,-0.28686400000000045,-0.03942082455792706
dem-sierra-L,linux,reveal,viewMs,p95,7.898918200000001,7.925514000000001,0.026595799999999947,0.0033670180303930763
dem-sierra-L,linux,reveal,viewMs,max,7.967561,8.031911,0.06434999999999924,0.008076499194671793
dem-sierra-L,linux,reveal,receiverMs,mean,8.112201689655173,8.02807675862069,-0.08412493103448249,-0.010370172519472698
dem-sierra-L,linux,reveal,receiverMs,median,8.048603,7.899852000000001,-0.14875099999999897,-0.018481592395599433
dem-sierra-L,linux,reveal,receiverMs,p95,9.889322199999999,9.5123904,-0.3769317999999995,-0.038115028752931046
dem-sierra-L,linux,reveal,receiverMs,max,10.677802999999999,10.103947999999999,-0.573855,-0.053742797090375216
dem-sierra-L,linux,reveal,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,reveal,reservationMs,mean,0.5328272068965517,0.5105378275862069,-0.022289379310344803,-0.04183228450395604
dem-sierra-L,linux,reveal,reservationMs,median,0.482454,0.511794,0.029339999999999977,0.06081408797522658
dem-sierra-L,linux,reveal,reservationMs,p95,0.8334596,0.7507981999999999,-0.08266140000000011,-0.09917865245058077
dem-sierra-L,linux,reveal,reservationMs,max,0.9663080000000001,0.801492,-0.16481600000000007,-0.17056259494902248
dem-sierra-L,linux,reveal,sampleRepairMs,mean,19.011671413793103,18.54799103448276,-0.4636803793103432,-0.02438924854202662
dem-sierra-L,linux,reveal,sampleRepairMs,median,19.02681,17.133572,-1.8932380000000002,-0.09950370030499067
dem-sierra-L,linux,reveal,sampleRepairMs,p95,26.460521799999995,25.522222199999998,-0.938299599999997,-0.03546035891098709
dem-sierra-L,linux,reveal,sampleRepairMs,max,38.408474999999996,38.689305,0.2808300000000017,0.007311667542124534
dem-sierra-L,windows,recovery,cpuMs,mean,0.4575406184885651,0.49973750696517527,0.042196888476610184,0.092225447908872
dem-sierra-L,windows,recovery,cpuMs,median,0.0364999994635582,0.0364999994635582,0.0,0.0
dem-sierra-L,windows,recovery,cpuMs,p95,0.12609999962151044,0.096229999884963,-0.029869999736547442,-0.23687549426012955
dem-sierra-L,windows,recovery,cpuMs,max,13.235799789428711,14.700300216674805,1.4645004272460938,0.11064691598128995
dem-sierra-L,windows,recovery,viewMs,mean,0.35131875,0.403365625,0.05204687499999999,0.1481471598085784
dem-sierra-L,windows,recovery,viewMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,viewMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,viewMs,max,11.2422,12.9077,1.6654999999999998,0.1481471598085784
dem-sierra-L,windows,recovery,receiverMs,mean,0.057665625,0.051462499999999994,-0.006203125000000004,-0.10757058472877046
dem-sierra-L,windows,recovery,receiverMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,receiverMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,receiverMs,max,1.8453,1.6467999999999998,-0.19850000000000012,-0.10757058472877046
dem-sierra-L,windows,recovery,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,windows,recovery,reservationMs,mean,3.1249999999999997e-06,0.0,-3.1249999999999997e-06,-1.0
dem-sierra-L,windows,recovery,reservationMs,median,0.0,0.0,0.0,
